customer_number,campaign_period_sales,historical_sales_volume,date_of_first_purchase,number_of_prior_year_transactions,do_not_direct_mail_solicit,do_not_email,do_not_telemarket,repurchase_method,last_transaction_channel,desk,executive_chair,standard_chair,monitor,printer,computer,insurance,toner,office_supplies,number_of_employees,language,num_emp,cp_sales,years_as_customer,hist_sales_bin,hist_years_as_customer_bin,hist_transactions_bin,repurchase_method_AUTO RENEW,repurchase_method_NOTICE,repurchase_method_PAYMENT PLAN,last_transaction_channel_AUTO RENEW,last_transaction_channel_BILLING,last_transaction_channel_BRANCH (PHONE),last_transaction_channel_BRANCH (POS),last_transaction_channel_IT,last_transaction_channel_MAIL,last_transaction_channel_NONE,last_transaction_channel_PHONE,last_transaction_channel_WEB,num_emp_avg_3,num_emp_avg_8,num_emp_avg_25,num_emp_avg_75,num_emp_avg_300,num_emp_avg_500,sale_1319.313_to_155862.72,sale_155862.72_to_303035.2,sale_303035.2_to_517717.2,sale_517717.26_to_929078.857,sale_929078.857_to_34412125.8,Years_0-10,Years_11-20,Years_21-30,Years_30-40,Years_40-50,Years_50+,Transactions_0-5,Transactions_6-10,Transactions_11-15,Transactions_16-20,Transactions_21-25,Transactions_25+,probs,success_pred
33411498,0.0,7850096.800000003,1982-11-15,26,0.0,0.0,0.0,NOTICE,NONE,0,0,0,0,0,0,1,0,1,500+,English,500,0,37,sale_929078.857_to_34412125.8,30-40,25+,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.7838665086278667,0
33413864,0.0,207116.8,1993-08-15,24,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,0,0,1,51-100,English,75,0,26,sale_155862.72_to_303035.2,21-30,21-25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7781469970932029,0
33415151,0.0,181285.86666666667,2018-05-29,7,0.0,1.0,0.0,AUTO RENEW,PHONE,0,0,0,0,0,0,0,0,1,6-10,English,8,0,1,sale_155862.72_to_303035.2,0-10,6-10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.812615684798534,0
33416065,549.64,900310.32,1994-05-01,13,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,11-50,English,25,1,25,sale_517717.26_to_929078.857,21-30,11-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8178201134085891,0
33416820,204.53333333333336,199420.00000000003,1993-05-01,15,0.0,0.0,0.0,NOTICE,WEB,0,0,1,0,0,0,0,0,1,6-10,English,8,1,26,sale_155862.72_to_303035.2,21-30,11-15,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5217613277376818,0
33416843,189.0476190476191,374314.2857142858,1978-05-01,18,0.0,0.0,0.0,NOTICE,MAIL,0,0,0,0,0,0,1,0,1,6-10,English,8,1,41,sale_303035.2_to_517717.2,40-50,16-20,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.20036382444167156,1
33417224,0.0,1013741.4,1992-12-25,7,0.0,0.0,0.0,NOTICE,BRANCH (POS),1,0,0,0,0,0,1,0,0,NONE,NONE,8,0,27,sale_929078.857_to_34412125.8,21-30,6-10,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.8624506133775754,0
33421085,0.0,648746.6666666665,1997-01-01,8,0.0,0.0,0.0,NOTICE,WEB,0,0,0,0,0,0,0,0,0,NONE,NONE,8,0,22,sale_517717.26_to_929078.857,21-30,6-10,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8342996456997612,0
33421855,0.0,364455.52,1991-01-01,17,0.0,1.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,6-10,English,8,0,28,sale_303035.2_to_517717.2,21-30,16-20,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.754241142118364,0
33428881,0.0,578532.6213333333,1996-04-01,19,0.0,0.0,0.0,AUTO RENEW,AUTO RENEW,0,0,0,0,0,0,0,0,1,11-50,English,25,0,23,sale_517717.26_to_929078.857,21-30,16-20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.7864189721603485,0
